instrumentid,name,description
C-0HBF,Mediobanca Banca di Credito Finanziario S.p.A.,
C-G9N,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",
C-52015,AGC Inc.,
C-0005U8,ageas SA/NV,
C-ADVA0,Advanced Info Service Public Company Limited,
C-28804,"Hua Nan Financial Holdings Co., Ltd.",
C-5MT0,Mizrahi Tefahot Bank Ltd.,
C-0EXG,"Jerónimo Martins, SGPS, S.A.",
C-23130,Shenzhou International Group Holdings Limited,
C-0HVP,"Lumen Technologies, Inc.",
C-33282,"Bank of Communications Co., Ltd.",
C-0BNS,Kesko Oyj,
C-28831,China Development Financial Holding Corporation,
C-0029G1,Euronext N.V.,
C-41510,"Kyowa Kirin Co., Ltd.",
C-BA33,Nedbank Group Limited,
C-A0345,SK Inc.,
C-0NR1,VERBUND AG,
C-2R8,Ritchie Bros. Auctioneers Incorporated,
C-0R1S,Lenovo Group Limited,
C-BB6,Banco do Brasil S.A.,
C-0HBT,Skanska AB (publ),
C-0S1D,The Carlyle Group Inc.,
C-0QSJ,Banco BTG Pactual S.A.,
C-40211,Nissan Chemical Corporation,
C-BF5O,Bid Corporation Limited,
C-0053Z,"Endesa, S.A.",
C-MARK1,Masraf Al Rayan (Q.P.S.C.),
C-0ZG,"Zillow Group, Inc.",
C-NZT0,Spark New Zealand Limited,
C-30371,Unimicron Technology Corp.,
C-23820,Quanta Computer Inc.,
C-90410,"Kintetsu Group Holdings Co.,Ltd.",
C-5329M,Adani Ports and Special Economic Zone Limited,
C-9503,"The Kansai Electric Power Company, Incorporated",
C-0L8F,Southwest Airlines Co.,
C-168,Tsingtao Brewery Company Limited,
C-0XE,Xero Limited,
C-ACKD,Auckland International Airport Limited,
C-012881,Adecco Group AG,
C-4GM,"Grupo Bimbo, S.A.B. de C.V.",
C-13X,Xinyi Solar Holdings Limited,
C-1OD,iA Financial Corporation Inc.,
C-0QZ4,"Delta Air Lines, Inc.",
C-0C2,"Chubu Electric Power Company, Incorporated",
C-9TX,TMX Group Limited,
C-4612,"Nippon Paint Holdings Co., Ltd.",
C-0JV3,Lincoln National Corporation,
C-8795,"T&D Holdings, Inc.",
C-A003Y0,LG Corp.,
C-LN10,Stockland,
C-0NZF,"CEZ, a. s.",
C-5110,Saudi Electricity Company,
C-11710,Yankuang Energy Group Company Limited,
C-0B67,"Galp Energia, SGPS, S.A.",
C-0H30,Indutrade AB (publ),
C-45IS,Kingfisher plc,
C-LA6A,Sanlam Limited,
C-22074,"Hotai Motor Co.,Ltd.",
C-7MP,M&G plc,
C-HAPV0,Hapvida Participações e Investimentos S.A.,
C-64530,"Samsung Electro-Mechanics Co., Ltd.",
C-600021,CITIC Securities Company Limited,
C-11770,Sino Biopharmaceutical Limited,
C-0007D1,Daiwa Securities Group Inc.,
C-0R2D,Kinross Gold Corporation,
C-3Y5A,The Commercial Bank (P.S.Q.C.),
C-9532,"Osaka Gas Co., Ltd.",
C-00802,OTP Bank Nyrt.,
C-MG21,Mirvac Group,
C-5008A,Britannia Industries Limited,
C-0051M1,Grasim Industries Limited,
C-S68,Singapore Exchange Limited,
C-F34,Wilmar International Limited,
C-5870,"The Shanghai Commercial & Savings Bank, Ltd.",
C-64790,MINEBEA MITSUMI Inc.,
C-267,CITIC Limited,
C-0DPS,Dexus,
C-EER7,Equatorial Energia S.A.,
C-46T,The GPT Group,
C-9697,"Capcom Co., Ltd.",
C-23570,ASUSTeK Computer Inc.,
C-0IB0,Arkema S.A.,
C-5324X0,Divi's Laboratories Limited,
C-0M2N,Orion Oyj,
C-18011,Taisei Corporation,
C-90381,DCC plc,
C-59JA,Japan Metropolitan Fund Investment Corporation,
C-10802,Arab National Bank,
C-8952,Japan Real Estate Investment Corporation,
C-0DHC,Carl Zeiss Meditec AG,
C-0GZV,Getinge AB (publ),
C-28903,SinoPac Financial Holdings Company Limited,
C-0K7J,Newell Brands Inc.,
C-EB20,Elbit Systems Ltd.,
C-50887,Apollo Hospitals Enterprise Limited,
C-30341,Novatek Microelectronics Corp.,
C-0FMO,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,
C-7951,Yamaha Corporation,
C-65040,"Fuji Electric Co., Ltd.",
C-5EA,Elanco Animal Health Incorporated,
C-N0XA,Nexi S.p.A.,
C-GA12,Gildan Activewear Inc.,
C-0K2F,"Mohawk Industries, Inc.",
C-LAND7,Land Securities Group plc,
C-19281,Sands China Ltd.,
C-50081,Tata Consumer Products Limited,
C-0LVJ,The Western Union Company,
C-0RC2,Poste Italiane S.p.A.,
C-C6L,Singapore Airlines Limited,
C-0NQE,PUMA SE,
C-OHP1,Persimmon Plc,
C-0ROY,Davide Campari-Milano N.V.,
C-5411O,"JFE Holdings, Inc.",
C-BAN8,Bancolombia S.A.,
C-25870,Suntory Beverage & Food Limited,
C-DELT7,Delta Electronics (Thailand) Public Company Limited,
C-22690,"Meiji Holdings Co., Ltd.",
C-16580,"Postal Savings Bank of China Co., Ltd.",
C-1919,"COSCO SHIPPING Holdings Co., Ltd.",
C-30452,"Taiwan Mobile Co., Ltd.",
C-1GIA,FirstService Corporation,
C-17W,WiseTech Global Limited,
C-WEFT,West Fraser Timber Co. Ltd.,
C-MFTX,Medibank Private Limited,
C-34620,"Nomura Real Estate Master Fund, Inc.",
C-LMU,"Lucid Group, Inc.",
C-0L6Z,Sirius XM Holdings Inc.,
C-0004W3,Anglo American Platinum Limited,
C-0FIN,Orkla ASA,
C-2354,"WuXi AppTec Co., Ltd.",
C-6383,"Daifuku Co., Ltd.",
C-BF2,BlueScope Steel Limited,
C-40050,"Sumitomo Chemical Company, Limited",
C-0LDR,"Teladoc Health, Inc.",
C-0R0F,"Tokyo Electric Power Company Holdings, Incorporated",
C-C98,Vicinity Centres,
C-34360,Sumco Corporation,
C-42BA,The Berkeley Group Holdings plc,
C-4204,"Sekisui Chemical Co., Ltd.",
C-80691,E Ink Holdings Inc.,
C-0QM9,EMS-CHEMIE HOLDING AG,
C-1BF,Phoenix Group Holdings plc,
C-IF28,Ivanhoe Mines Ltd.,
C-331A,Pidilite Industries Limited,
C-0QE5,Tele2 AB (publ),
C-DSAH1,Dr. Sulaiman Al Habib Medical Services Group Company,
C-3BA,Barratt Developments plc,
C-DRO1,Raia Drogasil S.A.,
C-36E,GFL Environmental Inc.,
C-036N0,Ncsoft Corporation,
C-0F4I,Klépierre SA,
C-AFG61,AltaGas Ltd.,
C-8HPC,Petro Rio S.A.,
C-5VD,Vodacom Group Limited,
C-ALDA0,Aldar Properties PJSC,
C-26030,Evergreen Marine Corporation (Taiwan) Ltd.,
C-0OC,Ocado Group plc,
C-C0Q,Coca-Cola HBC AG,
C-W1X,Wix.com Ltd.,
C-SLAK1,abrdn plc,
C-0QC9,LEG Immobilien SE,
C-0L8B,Southern Copper Corporation,
C-A7W,Rumo S.A.,
C-5332L1,Coal India Limited,
C-0H4K,"Acciona, S.A.",
C-50191,"Idemitsu Kosan Co.,Ltd.",
C-28871,"Taishin Financial Holding Co., Ltd.",
C-491,Bharat Electronics Limited,
C-32830,"Nippon Prologis REIT, Inc.",
C-0008G8,"Wuliangye Yibin Co.,Ltd.",
C-A0349,"Doosan Enerbility Co., Ltd.",
C-0RDM,ABN AMRO Bank N.V.,
C-2912,President Chain Store Corporation,
C-89840,Daiwa House REIT Investment Corporation,
C-2WGA,Woori Financial Group Inc.,
C-K2Y,Keyera Corp.,
C-LF38,Lojas Renner S.A.,
C-18022,Obayashi Corporation,
C-0061E3,Bolloré SE,
C-0027K3,Hongkong Land Holdings Limited,
C-0GS,"Guidewire Software, Inc.",
C-9064,"Yamato Holdings Co., Ltd.",
C-097V,Warehouses De Pauw NV,
C-AB99,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",
C-0005U3,Elia Group SA/NV,
C-DIB1,Dubai Islamic Bank P.J.S.C.,
C-AMER8,AMERCO,
C-AP54,Johnson Matthey Plc,
C-6488,"SBI Holdings, Inc.",
C-11202,Yageo Corporation,
C-0006L4,"Dai Nippon Printing Co., Ltd.",
C-32810,GLP J-REIT,
C-0RB8,Scout24 SE,
C-TENA1,Tenaga Nasional Berhad,
C-0185X0,Gecina SA,
C-0WH,WH Group Limited,
C-18120,Kajima Corporation,
C-SEK1,SEEK Limited,
C-512H,UPL Limited,
C-AHL7,Aurizon Holdings Limited,
C-BDO00,"BDO Unibank, Inc.",
C-A000B,"Samsung Fire & Marine Insurance Co., Ltd.",
C-TOW0,Tower Semiconductor Ltd.,
C-28970,"Nissin Foods Holdings Co.,Ltd.",
C-ICA00,Orica Limited,
C-4A91,AVEVA Group plc,
C-29154,Anhui Conch Cement Company Limited,
C-EAF9,Energy Absolute Public Company Limited,
C-0066X0,Recordati Industria Chimica e Farmaceutica S.p.A.,
C-PCGB,PETRONAS Chemicals Group Berhad,
C-BBNI,PT Bank Negara Indonesia (Persero) Tbk,
C-0006J2,Deutsche Lufthansa AG,
C-0019B2,Admiral Group plc,
C-A0516,"LG H&H Co., Ltd.",
C-0H40,"Siemens Gamesa Renewable Energy, S.A.",
C-6415,Silergy Corp.,
C-BCH,Banco de Chile,
C-AE89,J Sainsbury plc,
C-CALK0,Ampol Limited,
C-000587,D'Ieteren Group SA,
C-RE7,Remgro Limited,
C-TAWP,Taylor Wimpey plc,
C-63700,Kurita Water Industries Ltd.,
C-0EBQ,"Enagás, S.A.",
C-A003V,"Posco Chemical Co., Ltd.",
C-31201,Oil and Natural Gas Corporation Limited,
C-0011DE,Makita Corporation,
C-788,China Tower Corporation Limited,
C-0NP8,Aeroports de Paris SA,
C-4HK0,HKT Trust and HKT Limited,
C-A091F,"Celltrion Healthcare Co., Ltd.",
C-0068T0,Accor SA,
C-26823,Kingdee International Software Group Company Limited,
C-0RUG,bioMérieux S.A.,
C-C150,Empire Company Limited,
C-90011,"Tobu Railway Co., Ltd.",
C-ZAIN,Mobile Telecommunications Company K.S.C.P.,
C-0IAH,Securitas AB (publ),
C-CGLA1,Clicks Group Limited,
C-BRCW4,Brookfield Renewable Corporation,
C-50384,SRF Limited,
C-5332Q0,Toto Ltd.,
C-4062,"Ibiden Co.,Ltd.",
C-0HDH,AB Sagax (publ),
C-0RJE,Just Eat Takeaway.com N.V.,
C-7752,"Ricoh Company, Ltd.",
C-2989,Wharf (Holdings) Limited,
C-33002,Konami Group Corporation,
C-187C,Budweiser Brewing Company APAC Limited,
C-500090,Dabur India Limited,
C-0RVI,HelloFresh SE,
C-52PC,British Land Company Plc,
C-5938,LIXIL Corporation,
C-001A,Temenos AG,
C-37010,Hanwha Solutions Corporation,
C-0MH6,Ipsen S.A.,
C-23013,Lite-On Technology Corporation,
C-5324L0,Godrej Consumer Products Limited,
C-23793,Realtek Semiconductor Corp.,
C-0LR2,Vornado Realty Trust,
C-6841,Yokogawa Electric Corporation,
C-0LVK,Westlake Corporation,
C-47550,"Rakuten Group, Inc.",
C-1801,"Innovent Biologics, Inc.",
C-0024P3,"Ganfeng Lithium Group Co., Ltd.",
C-4FY,"Grupo Financiero Inbursa, S.A.B. de C.V.",
C-90620,"Nippon Express Holdings,Inc.",
C-0QYS,Mazda Motor Corporation,
C-425,Ambuja Cements Limited,
C-23330,Great Wall Motor Company Limited,
C-SOL21,Washington H. Soul Pattinson and Company Limited,
C-6WX,China Longyuan Power Group Corporation Limited,
C-31643,"Square Enix Holdings Co., Ltd.",
C-GEDP,Gulf Energy Development Public Company Limited,
C-400,The Tata Power Company Limited,
C-2395,"Advantech Co., Ltd.",
C-0011MF,Toppan Inc.,
C-0MI7,Lundin Mining Corporation,
C-0K75,New Oriental Education & Technology Group Inc.,
C-12A,Henderson Land Development Company Limited,
C-079R,Evonik Industries AG,
C-0R4P,Lifco AB (publ),
C-9143,"SG Holdings Co.,Ltd.",
C-6724,Seiko Epson Corporation,
C-0IBG,DISH Network Corporation,
C-9602,"Toho Co., Ltd.",
C-0242E,Cosan S.A.,
C-0KBI,Knorr-Bremse Aktiengesellschaft,
C-A0100,"Korea Zinc Company, Ltd.",
C-83,Sino Land Company Limited,
C-A011A,HMM Company Limited,
C-0I4B,Coupa Software Incorporated,
C-0QGH,OCI N.V.,
C-BBSE,BB Seguridade Participações S.A.,
C-03F,IDP Education Limited,
C-A032H,"Samsung Life Insurance Co., Ltd.",
C-7259,Aisin Corporation,
C-OC82,Onex Corporation,
C-00118K,Valeo SE,
C-3888,"Mitsui Chemicals, Inc.",
C-30643,"MonotaRO Co., Ltd.",
C-AEH9,"AMC Entertainment Holdings, Inc.",
C-0I7E,DaVita Inc.,
C-21811,"Persol Holdings Co., Ltd.",
C-0NPV,"Naturgy Energy Group, S.A.",
C-19291,Chow Tai Fook Jewellery Group Limited,
C-23452,Accton Technology Corporation,
C-ACBD0,"Arca Continental, S.A.B. de C.V.",
C-R9C,REA Group Limited,
C-0MGU,Rémy Cointreau SA,
C-OXSD,Schroders plc,
C-0OJC,Gjensidige Forsikring ASA,
C-AGLT0,Agility Public Warehousing Company K.S.C.P.,
C-1PT1,Central Pattana Public Company Limited,
C-40LS,Woolworths Holdings Limited,
C-91720,Telefônica Brasil S.A.,
C-S63,Singapore Technologies Engineering Ltd,
C-ADN0,Abu Dhabi National Oil Company for Distribution PJSC,
C-6009W1,"China Yangtze Power Co., Ltd.",
C-1WE0,La Française des Jeux Société anonyme,
C-6448,"Brother Industries, Ltd.",
C-2280,Almarai Company,
C-6806,"Hirose Electric Co.,Ltd.",
C-0DBH,Bezeq The Israel Telecommunication Corp. Ltd,
C-A0661,"L&F Co., Ltd.",
C-IACI1,IAC Inc.,
C-BFC9,Bumrungrad Hospital Public Company Limited,
C-ADIB1,Abu Dhabi Islamic Bank PJSC,
C-BRD4,Vibra Energia S.A.,
C-FFET,Fibra UNO,
C-17354,Havells India Limited,
C-A2471,"Ecopro BM. Co., Ltd.",
C-0MYY,Powszechny Zaklad Ubezpieczen SA,
C-0RGZ,Kinnevik AB,
C-1821,ESR Group Limited,
C-0IKJ,Wärtsilä Oyj Abp,
C-0010TL,Clariant AG,
C-2474,"Catcher Technology Co., Ltd.",
C-DMB3,Hargreaves Lansdown plc,
C-1590,AirTAC International Group,
C-0IAX,Dassault Aviation Société anonyme,
C-4938,Pegatron Corporation,
C-0GFE,Embracer Group AB (publ),
C-BDVY,The Bidvest Group Limited,
C-7747,"Asahi Intecc Co., Ltd.",
C-2313,Sahara International Petrochemical Company,
C-0TCP,Dino Polska S.A.,
C-HM6A,Hypera S.A.,
C-5328I0,Page Industries Limited,
C-QAL,Qantas Airways Limited,
C-18201,Hero MotoCorp Limited,
C-7020,Etihad Etisalat Company,
C-08762,Innolux Corporation,
C-5112E,Cholamandalam Investment and Finance Company Limited,
C-JBS0,JBS S.A.,
C-0000X3,"China Vanke Co., Ltd.",
C-LG90,Lendlease Group,
C-0O8D,KGHM Polska Miedz S.A.,
C-0NBN,Holmen AB (publ),
C-D3H,Discovery Limited,
C-41JB,Commercial International Bank (Egypt) S.A.E,
C-0N61,Amplifon S.p.A.,
C-GB20,Mapletree Logistics Trust,
C-CHEW,"Chewy, Inc.",
C-2409,AUO Corporation,
C-BBKC,Boubyan Bank K.S.C.P.,
C-CADS0,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,
C-0081P0,Genting Singapore Limited,
C-19A,Swire Pacific Limited,
C-0LQ0,Vipshop Holdings Limited,
C-49220,KOSÉ Corporation,
C-90081,Keio Corporation,
C-0G2X,Sofina Société Anonyme,
C-26090,Yang Ming Marine Transport Corporation,
C-21270,Nihon M&A Center Holdings Inc.,
C-CABO2,"Cable One, Inc.",
C-15M,Meridian Energy Limited,
C-PMEL,Press Metal Aluminium Holdings Berhad,
C-BBMA,BIM Birlesik Magazalar A.S.,
C-0GZX,DiaSorin S.p.A.,
C-9JD2,JD Sports Fashion plc,
C-53308,Adani Power Limited,
C-30381,"Kobe Bussan Co., Ltd.",
C-360N,China CITIC Bank Corporation Limited,
C-CCFB,"Coca-Cola FEMSA, S.A.B. de C.V.",
C-7186,"Concordia Financial Group, Ltd.",
C-47680,Otsuka Corporation,
C-GHT0,Grab Holdings Limited,
C-64651,Hoshizaki Corporation,
C-V03,Venture Corporation Limited,
C-90071,"Odakyu Electric Railway Co., Ltd.",
C-0A2O,"Lyft, Inc.",
C-10663,Shandong Weigao Group Medical Polymer Company Limited,
C-CDUA,Canadian Utilities Limited,
C-4904,"Far EasTone Telecommunications Co., Ltd.",
C-0223S,Northam Platinum Holdings Limited,
C-KRAF,"KRAFTON, Inc.",
C-28883,"Shin Kong Financial Holding Co., Ltd.",
C-00432,BCE Inc.,
C-47510,"CyberAgent, Inc.",
C-0R8S,Infrastrutture Wireless Italiane S.p.A.,
C-0F08,Kongsberg Gruppen ASA,
C-THYI,Türk Hava Yollari Anonim Ortakligi,
C-A0158,Korea Electric Power Corporation,
C-90091,"Keisei Electric Railway Co., Ltd.",
C-3944,"USS Co., Ltd.",
C-0GWB,L E Lundbergföretagen AB (publ),
C-151A,Want Want China Holdings Limited,
C-APH1,Aspen Pharmacare Holdings Limited,
C-41850,JSR Corporation,
C-5407Y0,ICICI Lombard General Insurance Company Limited,
C-0049V2,"Ayala Land, Inc.",
C-0RDX,Amundi S.A.,
C-5DQ1,Daqo New Energy Corp.,
C-0MTD,Swedish Orphan Biovitrum AB (publ),
C-1605,Walsin Lihwa Corporation,
C-532F,Info Edge (India) Limited,
C-960A,Longfor Group Holdings Limited,
C-0DP0,Bank Polska Kasa Opieki S.A.,
C-0FIZ,Hellenic Telecommunications Organization S.A.,
C-14020,Far Eastern New Century Corporation,
C-50023,Trent Limited,
C-0Q09,ANA Holdings Inc.,
C-SFA7,SM Investments Corporation,
C-QB31,Quebecor Inc.,
C-50050,Bharat Petroleum Corporation Limited,
C-5236I,PI Industries Limited,
C-API,ACWA POWER Company,
C-KF9,Klabin S.A.,
C-17,New World Development Company Limited,
C-6845,Azbil Corporation,
C-A018C,"Samsung SDS Co.,Ltd.",
C-AFQX,Azrieli Group Ltd,
C-0K9P,GN Store Nord A/S,
C-3769,"GMO Payment Gateway, Inc.",
C-A64,PT Adaro Energy Indonesia Tbk,
C-3164,Marico Limited,
C-2702,"McDonald's Holdings Company (Japan), Ltd.",
C-7276,"Koito Manufacturing Co., Ltd.",
C-5329V,Bajaj Auto Limited,
C-MDKA,PT Merdeka Copper Gold Tbk,
C-0DPM,Bechtle AG,
C-PUTK,PT United Tractors Tbk,
C-15481,Genscript Biotech Corporation,
C-5400P0,Larsen & Toubro Infotech Limited,
C-0246V,United Spirits Limited,
C-32880,"Open House Group Co., Ltd.",
C-4516,China Resources Power Holdings Company Limited,
C-TOTS0,TOTVS S.A.,
C-A003L1,"Korean Air Lines Co., Ltd.",
C-ICT20,"International Container Terminal Services, Inc.",
C-4967,"Kobayashi Pharmaceutical Co., Ltd.",
C-6018C,China Tourism Group Duty Free Corporation Limited,
C-36060,"Fuyao Glass Industry Group Co., Ltd.",
C-311,Oji Holdings Corporation,
C-601M,"LONGi Green Energy Technology Co., Ltd.",
C-0R07,Pan American Silver Corp.,
C-300760,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",
C-83310,"The Chiba Bank, Ltd.",
C-ERLA0,Exxaro Resources Limited,
C-0FRJ,RATIONAL Aktiengesellschaft,
C-0070F0,AB Electrolux (publ),
C-4JP,"Japan Post Insurance Co., Ltd.",
C-6409,Voltronic Power Technology Corp.,
C-0RQP,Investment AB Latour (publ),
C-16A0,Clarivate Plc,
C-PSMC1,Powerchip Semiconductor Manufacturing Corp.,
C-VLCA,Volvo Car AB (publ.),
C-0GTR,Husqvarna AB (publ),
C-8593,Mitsubishi HC Capital Inc.,
C-JPBV0,JDE Peet's N.V.,
C-07402,CK Infrastructure Holdings Limited,
C-300380,"Hulic Co., Ltd.",
C-XPEN2,XPeng Inc.,
C-0RDU,"Grifols, S.A.",
C-0V50,"RingCentral, Inc.",
C-0MKX,Voestalpine AG,
C-2180,Shree Cement Limited,
C-A011F,"LG Innotek Co., Ltd.",
C-0076N0,Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.,
C-2KS,Old Mutual Limited,
C-65050,Formosa Petrochemical Corporation,
C-5328H,DLF Limited,
C-586A,China Conch Venture Holdings Limited,
C-COPC0,Empresas Copec S.A.,
C-CAHD,Evolution Mining Limited,
C-50PA,Türkiye Petrol Rafinerileri A.S.,
C-8355,"Shizuoka Financial Group,Inc.",
C-PF6I,Parkland Corporation,
C-5333O,"NGK Insulators, Ltd.",
C-19880,"China Minsheng Banking Corp., Ltd.",
C-18030,Shimizu Corporation,
C-0H2Z,Fastighets AB Balder (publ),
C-A010M,S-Oil Corporation,
C-160K,"GlobalWafers Co., Ltd.",
C-A028A,"Samsung Engineering Co., Ltd.",
C-5JP0,"JAPAN POST BANK Co., Ltd.",
C-40810,Tata Elxsi Limited,
C-0181S,Covivio,
C-AHZ,"Affirm Holdings, Inc.",
C-5112K,Shriram Transport Finance Company Limited,
C-2290,Yanbu National Petrochemical Company,
C-0RCP,Eurobank Ergasias Services and Holdings S.A.,
C-101A0,Hang Lung Properties Limited,
C-322,Tingyi (Cayman Islands) Holding Corp.,
C-868,Xinyi Glass Holdings Limited,
C-2914,China Gas Holdings Limited,
C-012981,"Compal Electronics, Inc.",
C-PETG0,PETRONAS Gas Berhad,
C-0001DQ4,Bachem Holding AG,
C-HLBA,Hong Leong Bank Berhad,
C-GCB10,PTT Global Chemical Public Company Limited,
C-EDV0,Eregli Demir ve Çelik Fabrikalari T.A.S.,
C-BOTP0,Bank of the Philippine Islands,
C-38880,Kingsoft Corporation Limited,
C-4042,Tosoh Corporation,
C-39020,China Railway Group Limited,
C-QGTC,Qatar Gas Transport Company Limited (Nakilat) (QPSC),
C-SSCLR,"SK Square Co., Ltd.",
C-0057T0,Companhia Energética de Minas Gerais,
C-0117B4,Ayala Corporation,
C-6098,Country Garden Services Holdings Company Limited,
C-0FDT,Nemetschek SE,
C-9201,"Japan Airlines Co., Ltd.",
C-17SA,Vedanta Limited,
C-11021,Asia Cement Corporation,
C-1WF,Wayfair Inc.,
C-8212,Bupa Arabia for Cooperative Insurance Company,
C-CAPR4,Canadian Apartment Properties Real Estate Investment Trust,
C-49302,Bharat Forge Limited,
C-TMEG0,Tencent Music Entertainment Group,
C-AMRT0,PT Sumber Alfaria Trijaya Tbk,
C-4510,"Nippon Shinyaku Co., Ltd.",
C-3231,"Nomura Real Estate Holdings, Inc.",
C-MPGM0,Mr Price Group Limited,
C-30921,"ZOZO, Inc.",
C-0084P4,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,
C-A0284,"HLB Co., Ltd.",
C-MPHC,Mesaieed Petrochemical Holding Company Q.P.S.C.,
C-13391,The People's Insurance Company (Group) of China Limited,
C-3604,"Industrial Bank Co., Ltd.",
C-0R0P,BlackBerry Limited,
C-31342,Container Corporation of India Limited,
C-10991,Sinopharm Group Co. Ltd.,
C-5331A0,Jubilant FoodWorks Limited,
C-10443,Hengan International Group Company Limited,
C-ZLAB,Zai Lab Limited,
C-02020,Eurazeo SE,
C-ECA70,Ecopetrol S.A.,
C-B15A,BRP Inc.,
C-MCT4,Mapletree Pan Asia Commercial Trust,
C-44980,Zhongsheng Group Holdings Limited,
C-0003A5,"Weichai Power Co., Ltd.",
C-4091,Nippon Sanso Holdings Corporation,
C-KLBF,PT Kalbe Farma Tbk.,
C-0CP1,PT Charoen Pokphand Indonesia Tbk,
C-SISE5,Türkiye Sise Ve Cam Fabrikalari A.S.,
C-30R0,MultiChoice Group Limited,
C-600840,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",
C-3908,China International Capital Corporation Limited,
C-QFLS,"Qatar Fuel Company Q.P.S.C.(""WOQOD"")",
C-KCHA,Koç Holding A.S.,
C-CFW2,Charoen Pokphand Foods Public Company Limited,
C-A1WJ,Growthpoint Properties Limited,
C-9435,"Hikari Tsushin, Inc.",
C-11930,China Resources Gas Group Limited,
C-AFRW0,Akbank T.A.S.,
C-35290,eMemory Technology Inc.,
C-2956,"Zhuzhou CRRC Times Electric Co., Ltd.",
C-H5P,Hikma Pharmaceuticals PLC,
C-14761,"Eclat Textile Co., Ltd.",
C-33231,China National Building Material Company Limited,
C-GRPF,"Grupo Televisa, S.A.B.",
C-CCR32,CCR S.A.,
C-0206C1,Ubisoft Entertainment SA,
C-1766,CRRC Corporation Limited,
C-4FX,"Kimberly-Clark de México, S. A. B. de C. V.",
C-23770,"Micro-Star International Co., Ltd.",
C-8MIL,Minor International Public Company Limited,
C-135,Kunlun Energy Company Limited,
C-50056,Siemens Limited,
C-0RGT,Demant A/S,
C-0FI1,Organization of Football Prognostics S.A.,
C-A097B,CJ Cheiljedang Corporation,
C-DCBE,Digi.Com Berhad,
C-LBC5,Legend Biotech Corporation,
C-BFP40,Banco Santander-Chile,
C-41900,Jarir Marketing Company,
C-QIIK,Qatar International Islamic Bank (Q.P.S.C),
C-0153G0,GAIL (India) Limited,
C-28012,"Chang Hwa Commercial Bank, Ltd.",
C-6FHA,Futu Holdings Limited,
C-CRMM,China Resources Mixc Lifestyle Services Limited,
C-0QAL,Telefónica Deutschland Holding AG,
C-A0478,"Korea Aerospace Industries, Ltd.",
C-0RMJ,NEPI Rockcastle N.V.,
C-0044T0,Telecom Italia S.p.A.,
C-102Y,Bank AlJazira,
C-5328J0,Mindtree Limited,
C-SIHLN,Smoore International Holdings Limited,
C-A0860,"Hyundai Glovis Co., Ltd.",
C-C7G,IGM Financial Inc.,
C-01IS,"Komercní banka, a.s.",
C-RDSL,Rede D'Or São Luiz S.A.,
C-1972,Swire Properties Limited,
C-NVPI,SCB X Public Company Limited,
C-A0348,"LG Display Co., Ltd.",
C-30962,Indian Oil Corporation Limited,
C-02G,"Guangzhou Automobile Group Co., Ltd.",
C-3G31,"Gruma, S.A.B. de C.V.",
C-0RBQ,Aroundtown SA,
C-R7G,RioCan Real Estate Investment Trust,
C-50089,Colgate-Palmolive (India) Limited,
C-KZLI,Kanzhun Limited,
C-20690,"Huatai Securities Co., Ltd.",
C-AC0,Air Canada,
C-4958,Zhen Ding Technology Holding Limited,
C-1030,The Saudi Investment Bank,
C-99100,"Feng Tay Enterprises Co., Ltd.",
C-6902,"Samsung Heavy Industries Co., Ltd.",
C-KBAF,Kasikornbank Public Company Limited,
C-241,Alibaba Health Information Technology Limited,
C-004521,Reinet Investments S.C.A.,
C-532X,Jindal Steel & Power Limited,
C-A0900,Amorepacific Corporation,
C-1308,SITC International Holdings Company Limited,
C-99450,"Ruentex Development Co.,Ltd.",
C-4002,Mouwasat Medical Services Company,
C-01818,Wendel,
C-A009D,"Korea Shipbuilding & Offshore Engineering Co., Ltd.",
C-QEWS,Qatar Electricity & Water Company Q.P.S.C.,
C-5HP,Home Product Center Public Company Limited,
C-SCAP0,SBI Cards and Payment Services Limited,
C-3702,WPG Holdings Limited,
C-63050,"Hitachi Construction Machinery Co., Ltd.",
C-9719,SCSK Corporation,
C-EAMR,Enel Américas S.A.,
C-BG04,Ooredoo Q.P.S.C.,
C-75410,"Hyundai Engineering & Construction Co., Ltd.",
C-6032E,Foshan Haitian Flavouring and Food Company Ltd.,
C-004071,PLDT Inc.,
C-5326E0,Yes Bank Limited,
C-DMP2,Domino's Pizza Enterprises Limited,
C-0038F1,"CGN Power Co., Ltd.",
C-MGLU,Magazine Luiza S.A.,
C-23471,Synnex Technology International Corporation,
C-PPH1,Pepkor Holdings Limited,
C-C09,City Developments Limited,
C-270A,Guangdong Investment Limited,
C-6660,Wiwynn Corporation,
C-61861,China Feihe Limited,
C-29271,Chinasoft International Limited,
C-AD5A,Adevinta ASA,
C-0172K1,Nanya Technology Corporation,
C-0044O3,"JG Summit Holdings, Inc.",
C-0A2X,TAL Education Group,
